algorithm,seed,reference_productivity,reference_process_yield,HV
MOEAD_TCH,53,0.1,0.05,0.2650000403467051
MOEAD_TCH,53,0.2,0.1,0.19112453981983782
MOEAD_TCH,59,0.0,0.0,0.35334409995609406
MOEAD_TCH,59,0.05,0.02,0.31484895118729783
MOEAD_TCH,59,0.1,0.05,0.2683073169402012
MOEAD_TCH,59,0.2,0.1,0.19327053392430857
MOEAD_TCH,61,0.0,0.0,0.3524025232435294
MOEAD_TCH,61,0.05,0.02,0.31401114794325646
MOEAD_TCH,61,0.1,0.05,0.26767991183582296
MOEAD_TCH,61,0.2,0.1,0.19295730042811687
MOEAD_TCH,67,0.0,0.0,0.34362022182233815
MOEAD_TCH,67,0.05,0.02,0.3061201870979291
MOEAD_TCH,67,0.1,0.05,0.2608840631591036
MOEAD_TCH,67,0.2,0.1,0.1881479044958688
MOEAD_TCH,71,0.0,0.0,0.3529000798569093
MOEAD_TCH,71,0.05,0.02,0.31447482535264654
MOEAD_TCH,71,0.1,0.05,0.2680437148978476
MOEAD_TCH,71,0.2,0.1,0.19318734993878572
MOEAD_TCH,73,0.0,0.0,0.3402433944491782
MOEAD_TCH,73,0.05,0.02,0.30292089418272766
MOEAD_TCH,73,0.1,0.05,0.2581462510136986
MOEAD_TCH,73,0.2,0.1,0.18604910757821913
MOEAD_TCH,79,0.0,0.0,0.34714528359169994
MOEAD_TCH,79,0.05,0.02,0.30931213097773813
MOEAD_TCH,79,0.1,0.05,0.2636643606287888
MOEAD_TCH,79,0.2,0.1,0.19018343766587748
MOEAD_TCH,83,0.0,0.0,0.3467258239518349
MOEAD_TCH,83,0.05,0.02,0.3088705654548677
MOEAD_TCH,83,0.1,0.05,0.26328445278290646
MOEAD_TCH,83,0.2,0.1,0.1898430816139776
MOEAD_TCH,89,0.0,0.0,0.35287070033787343
MOEAD_TCH,89,0.05,0.02,0.31446024443511494
MOEAD_TCH,89,0.1,0.05,0.2679875641053365
MOEAD_TCH,89,0.2,0.1,0.19310442787279938
MOEAD_TCH,97,0.0,0.0,0.34477420841065376
MOEAD_TCH,97,0.05,0.02,0.30711897651767134
MOEAD_TCH,97,0.1,0.05,0.2617465579593401
MOEAD_TCH,97,0.2,0.1,0.1887189075080261
MOEAD_TCH,101,0.0,0.0,0.3452853590654859
MOEAD_TCH,101,0.05,0.02,0.30732811023814005
MOEAD_TCH,101,0.1,0.05,0.2617086107254086
MOEAD_TCH,101,0.2,0.1,0.18813186238533114
MOEAD_TCH,103,0.0,0.0,0.35280054732557303
MOEAD_TCH,103,0.05,0.02,0.31437070371368825
MOEAD_TCH,103,0.1,0.05,0.26786260929443395
MOEAD_TCH,103,0.2,0.1,0.1929246712632945
MOEAD_TCH,107,0.0,0.0,0.3534004203325807
MOEAD_TCH,107,0.05,0.02,0.3149533523483601
MOEAD_TCH,107,0.1,0.05,0.26851732945969076
MOEAD_TCH,107,0.2,0.1,0.19363423858680054
MOEAD_TCH,109,0.0,0.0,0.35192814499951686
MOEAD_TCH,109,0.05,0.02,0.31356589712720306
MOEAD_TCH,109,0.1,0.05,0.2673089772454952
MOEAD_TCH,109,0.2,0.1,0.1926898094914736
MOEAD_TCH,113,0.0,0.0,0.35138460808688476
MOEAD_TCH,113,0.05,0.02,0.3131419531530699
MOEAD_TCH,113,0.1,0.05,0.26683499740251787
MOEAD_TCH,113,0.2,0.1,0.19228538671815093
MOEAD_PBI,2,0.0,0.0,0.3513163495910472
MOEAD_PBI,2,0.05,0.02,0.3128752027866262
MOEAD_PBI,2,0.1,0.05,0.26652547848051494
MOEAD_PBI,2,0.2,0.1,0.1917346073699827
MOEAD_PBI,3,0.0,0.0,0.3481983105481309
MOEAD_PBI,3,0.05,0.02,0.31023792234810327
MOEAD_PBI,3,0.1,0.05,0.2643304068393578
MOEAD_PBI,3,0.2,0.1,0.19046250313058466
MOEAD_PBI,5,0.0,0.0,0.34700070363705193
MOEAD_PBI,5,0.05,0.02,0.30915262131118637
MOEAD_PBI,5,0.1,0.05,0.2634278018308022
MOEAD_PBI,5,0.2,0.1,0.18985490002455258
MOEAD_PBI,7,0.0,0.0,0.3491467210206519
MOEAD_PBI,7,0.05,0.02,0.311081853982591
MOEAD_PBI,7,0.1,0.05,0.2649743162360731
MOEAD_PBI,7,0.2,0.1,0.19080191145149422
MOEAD_PBI,11,0.0,0.0,0.346324480404594
MOEAD_PBI,11,0.05,0.02,0.30848675819380894
MOEAD_PBI,11,0.1,0.05,0.2628556266454157
MOEAD_PBI,11,0.2,0.1,0.18938677288623718
MOEAD_PBI,13,0.0,0.0,0.3495477621457586
MOEAD_PBI,13,0.05,0.02,0.3114701152358418
MOEAD_PBI,13,0.1,0.05,0.26545708142421603
MOEAD_PBI,13,0.2,0.1,0.19136640070267322
MOEAD_PBI,17,0.0,0.0,0.3476535877923143
MOEAD_PBI,17,0.05,0.02,0.3097131771058763
MOEAD_PBI,17,0.1,0.05,0.2639342760798331
MOEAD_PBI,17,0.2,0.1,0.19021496436735194
MOEAD_PBI,19,0.0,0.0,0.349738158097857
MOEAD_PBI,19,0.05,0.02,0.3116218414389052
MOEAD_PBI,19,0.1,0.05,0.26547316449378777
MOEAD_PBI,19,0.2,0.1,0.1912081708897187
MOEAD_PBI,23,0.0,0.0,0.35190417202340585
MOEAD_PBI,23,0.05,0.02,0.31356165872964076
MOEAD_PBI,23,0.1,0.05,0.26718246972366033
MOEAD_PBI,23,0.2,0.1,0.1924607674239151
MOEAD_PBI,29,0.0,0.0,0.3449372016302395
MOEAD_PBI,29,0.05,0.02,0.3072077868788463
MOEAD_PBI,29,0.1,0.05,0.261807582169382
MOEAD_PBI,29,0.2,0.1,0.1886779627085244
MOEAD_PBI,31,0.0,0.0,0.3474279946540688
MOEAD_PBI,31,0.05,0.02,0.30951065371731934
MOEAD_PBI,31,0.1,0.05,0.26378238374226315
