algorithm,seed,Yhp,Yhc,D,productivity_DH,process_yield_H_Gin,Bp,Bc,G,A,Hp,Hc,H_total
NSGA2,2,0.8404743378094305,0.8033449369314224,0.07595166564026631,0.518501628236683,0.3413365749557674,1.208274758052986,0.11281012948702783,0.39653067657509844,0.018980793991963965,6.365896954894237,0.4608345442211118,6.826731499115349
NSGA2,2,0.502582260886955,0.3448881196175474,0.2769216528354491,1.1088216247253588,0.20020493402591324,3.726404810898514,0.45398567545193574,1.0900121387454083,0.019541281156351866,3.7650948238815745,0.23900385663669024,4.004098680518265
NSGA2,2,0.7500024763450448,0.6744678150490131,0.13125262871722976,0.8029358708979808,0.30587420562365397,1.8909186397357385,0.21461209530176006,0.6722504354015657,0.01844566162013778,5.672830841021402,0.444653271451677,6.117484112473079
NSGA2,2,0.794538776763379,0.7143292107923926,0.10778622922135607,0.6935274670285956,0.32171431918465543,1.5372713988407365,0.1957608900090261,0.6701850492270989,0.014657899605095183,5.944779835081522,0.4895065486115867,6.434286383693109
NSGA2,2,0.8637381210754818,0.8104859941315667,0.0676245143450781,0.4677488435069007,0.3458426637417654,1.0083094662242362,0.12284635025603753,0.509640393297439,0.013680393574497228,6.3914818340468065,0.5253714407885011,6.916853274835308
NSGA2,2,0.6516968080577002,0.5205574195377484,0.18939368423448844,0.9997446881179258,0.2639329532446661,2.6256670503128734,0.33697611067775085,0.823827158921956,0.01583877643911156,4.912785398747209,0.36587366614611283,5.278659064893322
NSGA2,2,0.8170996101529155,0.7610851818662037,0.09303856742044987,0.6169379730905745,0.3315495875503838,1.375193096287104,0.15299379885209413,0.567555622174387,0.017437478426498065,6.143615898252748,0.4873758527549277,6.6309917510076755
NSGA2,2,0.8445845012053669,0.8033449369314224,0.07495509106391748,0.5128761625458832,0.3421222996771035,1.17158987632409,0.11642447749368229,0.42485300898511513,0.017771791548657326,6.366846672222687,0.47559932131938315,6.8424459935420705
NSGA2,2,0.7342781332421677,0.6555426727865826,0.1395340286882284,0.8372410708539084,0.3000132221239811,2.015350091212702,0.2265651516961987,0.6643353269929613,0.01869259564412977,5.569084399643134,0.43118004283648853,6.000264442479622
NSGA2,2,0.7349085897116798,0.6553673100117345,0.13712021725868692,0.8266800316044081,0.3014435245696913,2.0211794763633844,0.22380030890705446,0.5802271797653915,0.01784413011839555,5.603282871040094,0.42558762035373254,6.0288704913938265
NSGA2,2,0.8637381210754818,0.8122942127829053,0.06809786404199114,0.4705713890984871,0.3455111226457257,1.0069334785563009,0.12188663641510933,0.5391607485864051,0.014336352713485882,6.382759710058013,0.5274627428565004,6.910222452914514
NSGA2,2,0.7831951024165885,0.7113797752463222,0.11420112915190002,0.7249936904078572,0.31741966817312994,1.6255132709207303,0.19325246286269743,0.711342456381585,0.017272347545649252,5.872072295822962,0.4763210676396375,6.348393363462599
NSGA2,2,0.6902123744221478,0.6070669683435848,0.1629393143962707,0.9221835098226199,0.2829837333118564,2.3629759023548065,0.255619118655505,0.6638867547749383,0.02024806329734661,5.264752603414611,0.394922062822516,5.659674666237128
NSGA2,2,0.8697702106250564,0.8240051068180905,0.06321540755177404,0.4400315992430284,0.3480414160761664,0.9655855390328102,0.10934227875085752,0.45582402785218423,0.014554224234188421,6.448889625729995,0.5119386957933333,6.960828321523328
NSGA2,2,0.6110071698322407,0.455360728550142,0.21764733069398118,1.0571175723997703,0.2428510308463443,2.8831199424264247,0.3927680115677064,1.1317104640720919,0.015741307052763522,4.5286360562202175,0.3283845607066681,4.857020616926886
NSGA2,2,0.5403970772114826,0.3876007687754093,0.25385864238765377,1.1011761617325517,0.2168876646025321,3.459801055488031,0.4261974498316722,0.9731921501125051,0.018352126342448257,4.0680036732038936,0.26974961884674836,4.337753292050642
NSGA2,2,0.6617044695228742,0.5559846262254569,0.18421598046436247,0.9865839718584191,0.26777914960783733,2.5441374619040253,0.30288280883171714,0.899415376662033,0.019115780495241833,4.976320932316615,0.3792620598401306,5.355582992156746
NSGA2,2,0.5403970772114826,0.3876007687754093,0.25414211997174274,1.1015376829165684,0.21671686752259817,3.456787230436665,0.4263991926482814,0.9879196386719943,0.01840128186252303,4.064460044196698,0.269877306255265,4.334337350451963
NSGA2,3,0.5047323797550831,0.3523960668259435,0.2758781364727278,1.1089836686851764,0.20099158325197802,3.70599410141827,0.44659176557611435,1.1163463566267136,0.020158677246919658,3.7768171099942647,0.2430145550452953,4.01983166503956
NSGA2,3,0.9049355737859576,0.8766523136399113,0.042556614509014934,0.30105060520144317,0.3537060086601466,0.6924754202262787,0.06786400069257192,0.3431914353994817,0.015060702980259891,6.591799547858364,0.4823206253445686,7.074120173202933
NSGA2,3,0.5267438259024688,0.3880986695642024,0.26327610877300267,1.1064424394474341,0.21012967044446323,3.5374631437859825,0.4183275091098054,1.1339530899318304,0.021098819915375072,3.937269014820707,0.26532439406855757,4.202593408889265
