algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_feasible_evaluations,n_infeasible_evaluations,IGD_plus,Epsilon
MOEAD_ASF,53,0.3500677877954759,0.014533481800665975,99,228.19736739998916,10000,7480,2520,0.0035564143167312015,0.028566264637669647
MOEAD_ASF,59,0.3551972830282565,0.013462456552942382,99,229.43141999997897,10000,7288,2712,0.001251332563336904,0.009183198275153126
MOEAD_ASF,61,0.35560725926781467,0.01380644998093431,99,227.6686442999635,10000,7356,2644,0.0018414300828671613,0.011164125238098455
MOEAD_ASF,67,0.35374988142313935,0.010313233907947033,96,227.0427869000123,10000,7377,2623,0.008482199614722656,0.013635135818226757
MOEAD_ASF,71,0.3506869658228002,0.01335762861840394,94,227.79335130000254,10000,7475,2525,0.007084455508542539,0.01843088377640245
MOEAD_ASF,73,0.342740938666312,0.011698667648864177,97,229.64732410002034,10000,7345,2655,0.006303939687191272,0.060451309379671914
MOEAD_ASF,79,0.35505087125945856,0.00906284265734096,100,227.62268249999033,10000,7428,2572,0.005935304134381344,0.006650681483997056
MOEAD_ASF,83,0.35503706836512716,0.0115247669566259,100,226.89568580000196,10000,7406,2594,0.0021107263821617825,0.012998698922201068
MOEAD_ASF,89,0.355178090534249,0.00821016818517469,99,229.6821428000112,10000,7392,2608,0.003698375764359705,0.007395256492740615
MOEAD_ASF,97,0.353312646621449,0.011062580564164998,100,229.712618199992,10000,7409,2591,0.004183954073411908,0.011436409768404765
MOEAD_ASF,101,0.354376356246059,0.014859692952238164,100,232.95516489999136,10000,7497,2503,0.0024086305384981702,0.00793241584155302
MOEAD_ASF,103,0.35244041417837746,0.010053302463951178,96,227.10042380000232,10000,7474,2526,0.003762350718935898,0.015685857747936627
MOEAD_ASF,107,0.34728001251385254,0.011847407393701274,97,229.40476689999923,10000,7436,2564,0.00763561470968138,0.037429873440224304
MOEAD_ASF,109,0.35489506363311507,0.011241321428514294,99,227.04207059997134,10000,7391,2609,0.003119659532950749,0.01277654260386818
MOEAD_ASF,113,0.3512022434766211,0.018823136262503516,100,229.93924610002432,10000,7400,2600,0.0023156491406258607,0.020446990540805787
MOEAD_AASF,2,0.34247544197493085,0.024315761754212194,88,228.46731789998012,10000,7173,2827,0.005866083505167408,0.05385473687507902
MOEAD_AASF,3,0.35277965502313846,0.01058069029015557,100,229.2622282000375,10000,7312,2688,0.007926923670973939,0.01870012842797711
MOEAD_AASF,5,0.3516707232859234,0.021692434992999787,93,239.20526590000372,10000,7334,2666,0.0035529191901636594,0.013834857114073396
MOEAD_AASF,7,0.3528970647140836,0.01690574181167906,95,229.5061810000334,10000,7290,2710,0.003967215922079954,0.01877489865860424
MOEAD_AASF,11,0.34484558397603143,0.015342316075022176,87,227.92987890000222,10000,7464,2536,0.00888528278517927,0.04523041129164618
MOEAD_AASF,13,0.35494282745980615,0.013456761212490011,94,215.33071260002907,10000,7350,2650,0.003863904341339215,0.009847638622719201
MOEAD_AASF,17,0.35367797492282754,0.014674406730710379,93,217.42531739996048,10000,7285,2715,0.0046897779738080915,0.021623256525287987
MOEAD_AASF,19,0.3497894179671561,0.024744586259445644,95,218.20194200001424,10000,7279,2721,0.0024031837209618377,0.01644825426282326
MOEAD_AASF,23,0.3516584908271085,0.014325179454332737,91,215.60437479999382,10000,7348,2652,0.009679149948258352,0.019761007801555847
MOEAD_AASF,29,0.34455538054367846,0.014255620455219104,96,219.50409359997138,10000,7487,2513,0.008140211039775032,0.048384019961910774
MOEAD_AASF,31,0.35342649848423024,0.015093052492941303,96,215.68754509999417,10000,7224,2776,0.0025667881714606772,0.012792935884172074
MOEAD_AASF,37,0.35342181117511856,0.012712583425031301,91,217.29007760004606,10000,7402,2598,0.006900221960137635,0.012738498692440148
MOEAD_AASF,41,0.35148716531947005,0.018714347131340868,96,214.79792869999073,10000,7208,2792,0.0026490297062449876,0.017880812933154466
MOEAD_AASF,43,0.3539212102538083,0.010600060919317313,97,215.88907350000227,10000,7328,2672,0.006670881162056404,0.026201207084546957
MOEAD_AASF,47,0.35332502780865904,0.016777675024899734,93,214.62645580002572,10000,7336,2664,0.003333386864848623,0.033781885298642095
MOEAD_AASF,53,0.35380260206710873,0.013832777713094484,96,215.78766420000466,10000,7334,2666,0.0047018122687555,0.015549832535231012
MOEAD_AASF,59,0.35573711927567453,0.015442558132611967,97,215.00029509997694,10000,7250,2750,0.002008313818209664,0.013528989617933806
MOEAD_AASF,61,0.35372116328836845,0.01833045271637451,99,215.78313670004718,10000,7251,2749,0.001389095899525623,0.027596838902611526
MOEAD_AASF,67,0.3500984542401015,0.014102457559074695,95,213.41119750001235,10000,7199,2801,0.0032576154990240688,0.03627967313788641
MOEAD_AASF,71,0.34861636819625713,0.019061118946875674,98,216.32209530001273,10000,7271,2729,0.003961564501686341,0.03168952363922406
MOEAD_AASF,73,0.35553554607033944,0.015634996914224562,98,215.6219297000207,10000,7186,2814,0.0019793120695128226,0.016136627395743952
MOEAD_AASF,79,0.3544469737114698,0.01269461347670504,95,217.1858972000191,10000,7307,2693,0.005663492662850409,0.010063880842676287
MOEAD_AASF,83,0.34865065084473723,0.015876966557389138,97,215.5230365000316,10000,7267,2733,0.004735924453560152,0.032390211877061814
MOEAD_AASF,89,0.35436952618867296,0.013981584783179124,96,216.83836829999927,10000,7347,2653,0.0032483561288189347,0.011942315489370525
MOEAD_AASF,97,0.34709219836221755,0.014429528515368138,99,215.03573490004055,10000,7221,2779,0.0060327616508851385,0.03871284848029011
MOEAD_AASF,101,0.35199704825362926,0.01083559370270744,98,215.43595920002554,10000,7299,2701,0.008214739545514833,0.008672518425800746
MOEAD_AASF,103,0.35129382117328845,0.014671810335439026,99,211.20603970001685,10000,7187,2813,0.003525168733271998,0.022598823543905633
MOEAD_AASF,107,0.35432905374914214,0.012342775052807092,98,214.9304356999928,10000,7196,2804,0.0038352832550352643,0.015861440613235106
MOEAD_AASF,109,0.3544263437655154,0.011473829309346427,95,212.8650581999682,10000,7236,2764,0.006279292124855869,0.009979124128351058
MOEAD_AASF,113,0.35522679752904796,0.01525381230336687,97,216.79580380005063,10000,7261,2739,0.0023376007506195414,0.013311171955106449
