algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_objective_function_calls,n_constraint_function_calls,n_equilibrium_solver_calls,n_successful_weight_solutions,n_fmincon_runs,IGD_plus,Epsilon
FMINCON_100,43,0.357152857081824,0.00814369508013593,99,776.1756903,20575,20575,20575,103425,100,100,0.000281858200183648,0.0027012594686896
FMINCON_100,47,0.357152871732208,0.00814263807291231,99,801.5686978,21201,21201,21201,106557,100,100,0.000267827338441557,0.00270322519196697
FMINCON_100,53,0.357152758442428,0.0081433682125882,99,784.2509695,20769,20769,20769,104398,100,100,0.000279254057985126,0.00276390412348737
FMINCON_100,59,0.357152846947708,0.00814281878720756,99,779.6033743,20654,20654,20654,103820,100,100,0.000272734293267341,0.00270325085632195
FMINCON_100,61,0.357152915304559,0.00814236779105058,99,782.9413761,20740,20740,20740,104249,100,100,0.000268314986421225,0.00270254508305451
FMINCON_100,67,0.357152851124439,0.00814355927796125,99,804.7520321,21313,21313,21313,107130,100,100,0.000280524116016943,0.00269495550310961
FMINCON_100,71,0.357152997841342,0.00814210259351895,99,785.7315809,20894,20894,20894,105036,100,100,0.000280503185344291,0.00270414960578258
FMINCON_100,73,0.357152978956681,0.00814280192884707,99,784.2505516,20649,20649,20649,103799,100,100,0.000279053126466271,0.00269368009244159
FMINCON_100,79,0.357152054417431,0.00814814338880097,99,767.5122019,20376,20376,20376,102430,100,100,0.000289302470348449,0.00269480867962901
FMINCON_100,83,0.357152983293972,0.00814294003757603,99,779.5465432,20716,20716,20716,104131,100,100,0.00030400697237408,0.0027635277064092
FMINCON_100,89,0.357152916326277,0.0081423101238974,99,784.0633155,20839,20839,20839,104743,100,100,0.000268304490361737,0.00269600353922583
FMINCON_100,97,0.357150905577998,0.00817308337190225,98,851.6292428,22709,22709,22709,114120,99,100,0.000279623109158951,0.00269603980965233
FMINCON_100,101,0.357152882906536,0.00814310194237308,99,783.242059,20773,20773,20773,104422,100,100,0.000275528975995149,0.00270169768826195
FMINCON_100,103,0.357152901962501,0.00814251231671785,99,808.1937649,21350,21350,21350,107294,100,100,0.000268372915397449,0.00270292090946433
FMINCON_100,107,0.35715297148009,0.00814195638016439,99,796.0920945,20951,20951,20951,105301,100,100,0.000276432165278443,0.00268468738426986
FMINCON_100,109,0.357152980954102,0.00814177846084972,99,777.1749569,20437,20437,20437,102737,100,100,0.000274960446596122,0.00269497752835079
FMINCON_100,113,0.357152928572964,0.00814221281958553,99,796.8631448,20813,20813,20813,104617,100,100,0.000268751901958622,0.00269546563650419
